file	model	alpha	rate	ci_lower	ci_upper	n_variants
regenie_step2.eur.p_0.2_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.05	0.0492313007427881	0.0436580011444131	0.054804600341163	5789
regenie_step2.eur.p_0.2_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.01	0.00811884608740715	0.0058071471676731	0.0104305450071412	5789
regenie_step2.eur.p_0.2_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.001	0.000518224218345137	0	0.00110449815684584	5789
regenie_step2.eur.p_0.2_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.0001	0	0	0	5789
regenie_step2.eur.p_0.2_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.00001	0	0	0	5789
regenie_step2.eur.p_0.2_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.05	0.0487130765244429	0.0431676770182865	0.0542584760305993	5789
regenie_step2.eur.p_0.2_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.01	0.00811884608740715	0.0058071471676731	0.0104305450071412	5789
regenie_step2.eur.p_0.2_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.001	0.000518224218345137	0	0.00110449815684584	5789
regenie_step2.eur.p_0.2_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.0001	0	0	0	5789
regenie_step2.eur.p_0.2_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.00001	0	0	0	5789
regenie_step2.eur.p_0.2_continuous_4.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.05	0.0545862843323545	0.0487342480187466	0.0604383206459623	5789
regenie_step2.eur.p_0.2_continuous_4.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.01	0.011400932803593	0.0086660760250925	0.0141357895820935	5789
regenie_step2.eur.p_0.2_continuous_4.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.001	0.00172741406115046	0.00065767687192138	0.00279715125037954	5789
regenie_step2.eur.p_0.2_continuous_4.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.0001	0.000345482812230092	0	0.00082421484300216	5789
